经纬度,wkt,geojson
"103.83850363823365,30.699705113712845",,
"104.02148467577476,30.677168043478257",,
"104.09981498408446,30.6397367163679",,
"103.95518629460628,30.786518484319785",,
"104.0856331593232,30.68172589420801",,
"103.80819667287837,30.41071964293364",,
"104.08026321929357,30.609038911961278",,
"103.6202563773418,30.983236859059264",,
"104.09296602780675,30.68787512780361",,
"103.52430008008135,30.577295015465445",,
"104.09569012672812,30.680580298491833",,
"104.15666908895098,30.83709632328622",,
"104.09705978360961,30.627559599447522",,
"104.04764442539081,30.65566917131099",,
"103.98359374882926,30.609602379973122",,
"104.40819148999589,30.859399968079433",,
"103.87473560762379,30.676838264757347",,
"104.09071947320906,30.659814408687804",,
"104.08589703543564,30.640690793698127",,
"104.12094376864879,30.628464247244214",,
"104.03787836865583,30.554524978724505",,
"104.10499091494252,30.627052021018056",,
"103.96189125548825,30.664718871707066",,
"104.07588720986331,30.624159446439744",,
"104.08530964443885,30.650280167961878",,
"104.09289297685483,30.65178073735249",,
"104.00130407451769,30.665238390493",,
"104.1342080961336,30.661083018655034",,
"103.91251323450916,30.57740875986439",,
"103.63746587640938,30.998551255376555",,
"104.095822049708,30.635075856665164",,
"103.91805638990219,30.557180839186223",,
"104.17579421243188,30.62029402036806",,
"104.01985400036982,30.649855078352516",,
"104.12140846458814,30.616306911598663",,
"103.96271676274779,30.985243562189616",,
"103.55162272242433,30.441067087480075",,
"103.63808891590057,31.008659270295244",,
"104.09817062097437,30.623312956509764",,
"104.02629750491802,30.648319526775957",,
"103.84048433290977,30.704520535789907",,
"104.02846712911834,30.637407332788765",,
"104.11343145235287,30.685220848785523",,
"104.02850208502218,30.625495725246086",,
"103.91002811304067,30.61636528569342",,
"103.63579724686845,31.011408685108737",,
"104.05970471440446,30.62710503859399",,
"104.0798642703914,30.517495253526757",,
"103.83568846786244,30.693177757293903",,
"103.86905438064363,30.671760916485358",,
"104.02934491953498,30.644183112895828",,
"104.26146540877197,30.885416107422408",,
"104.05489570351803,30.691057489783685",,
"104.07758945141791,30.687204563768784",,
"103.93665123216864,30.981887330536843",,
"104.04538076698236,30.671733838809",,
"104.05873857750645,30.511861299482053",,
"104.03317370283382,30.678367351339805",,
"103.83884551835179,30.688191826091415",,
"103.93812805928927,30.98029874629186",,
"103.91215695741502,30.571917815340555",,
"104.44102338194844,30.8491610042858",,
"104.09240200813122,30.674209914119956",,
"103.64245464730979,30.97546193720748",,
"103.82560525343322,30.69311371285893",,
"103.80702153550308,30.87970687222274",,
"104.10897853581237,30.685136010895143",,
"104.25156529041753,30.879214536067796",,
"104.25105008317581,30.879940323251418",,
"104.02571063855196,30.697215169134267",,
"104.08260370376543,30.645296437854046",,
"104.08169293712668,30.64252139718538",,
"104.04453794466235,30.603227033615926",,
"103.92904586454429,30.981707835518097",,
"104.13576859195648,30.66526843040557",,
"103.69506067625099,30.63683011199654",,
"104.31229648833234,30.59608202606394",,
"103.99210555085345,30.752173257594034",,
"104.05974379906046,30.637598981663885",,
"104.03226532563984,30.69004445706313",,
"104.03684849780699,30.689654120304148",,
"104.11181213541457,30.629061111487374",,
"104.1088007843374,30.629234670610472",,
"104.12168253530422,30.679725651313184",,
"104.12050910507908,30.679449248593375",,
"104.09519216182358,30.656619328776436",,
"104.15361262190677,30.794003236742086",,
"103.9418323495923,30.98737028368794",,
"104.09892385511445,30.66636138033985",,
"104.10195056765131,30.66746259514444",,
"104.1615812648079,30.81502932786375",,
"104.12921067289804,30.782426161208626",,
"103.95278449660402,30.489571096617244",,
"103.99531334219957,31.165945206078295",,
"104.08047245160053,30.700695503162738",,
"104.11144764676335,30.685849024926224",,
"104.10677387055375,30.68221345951262",,
"103.92282185236176,30.799773104041684",,
"104.04688723340149,30.686280409627315",,
"103.93293320890974,30.57581406775788",,
"104.01018268108285,30.617204597469165",,
"104.00941940976054,30.61541214280461",,
"104.60206155479365,30.686801703000555",,
"104.53776568990766,30.409266843043618",,
"103.4676422758698,30.40413769586027",,
"103.99610831130347,30.57279306640705",,
"104.03327563184212,30.64038489240177",,
"104.56352061153153,30.390063365317793",,
"103.81695884987738,30.434271045330824",,
"103.99575210585897,30.708224147986893",,
"104.03686167985767,30.674046807472845",,
"104.03367549985678,30.67651348928992",,
"103.90735750202496,30.57146447743948",,
"103.90689618064356,30.570192549136536",,
"103.90811467676014,30.56983530604362",,
"103.90469449876713,30.56320775265392",,
"104.1717527282811,30.61349839209689",,
"103.84847534871335,30.438729526504435",,
"103.92692141642655,30.569447081532505",,
"103.93117812834458,30.561687221042856",,
"104.22971015469672,30.790039571368688",,
"104.07085248797661,30.673409157618124",,
"104.00893987260153,30.547939537483273",,
"103.46213596298836,30.422158928457087",,
"104.07629699457495,30.67550619145722",,
"104.06339560619088,30.68366598595586",,
"104.06319655229358,30.683254613149845",,
"104.06785284798696,30.681442484996804",,
"104.06403417972396,30.68467703642211",,
"104.06334084501181,30.68485541626671",,
"104.06460882543547,30.68394614334414",,
"103.5169460175638,30.303672368006403",,
"104.06866368115381,30.681744471009583",,
"103.91317843210788,30.578878796952694",,
"103.91131651129054,30.581336870557518",,
"104.05579590017066,30.629089536405004",,
"104.05574739485066,30.62868965801887",,
"104.08575466899624,30.607778217776026",,
"103.9238977332412,30.837582677522462",,
"104.05645364779876,30.628754006170634",,
"103.93403022979255,30.561876530225632",,
"104.15428418583905,30.74941895849594",,
"103.51399273058384,30.185909937901354",,
"104.2438097721458,30.534569326744336",,
"103.92014302492987,30.87226813338768",,
"104.26711014072714,30.54545517756217",,
"103.70271638877801,30.493407458231538",,
"103.90721728801857,30.8698658279328",,
"104.11872224332355,30.947720714986787",,
"104.09148916072476,30.815674578595527",,
"104.02749824285948,30.651308586550897",,
"103.63040999743242,30.992354359714994",,
"104.14825094444474,30.52266171783666",,
"104.15229057427987,30.521571345554637",,
"104.01719970982494,30.673832909810926",,
"104.0334012709393,30.641859164010395",,
"103.8048824260241,30.69410255245561",,
"103.9262341459603,30.5749999223837",,
"104.43570005546157,30.85666291972176",,
"104.03596322313416,30.646342534965207",,
"104.0437594298176,30.654304544541375",,
"104.04371645374135,30.65332480825194",,
"104.04238152383736,30.656050210318774",,
"104.0333526354884,30.65036428717163",,
"104.02861452184978,30.64979894588253",,
"104.03638665531547,30.648086543727672",,
"104.03381397411584,30.646306197701662",,
"104.03298406339135,30.64963300676218",,
"104.0385161053284,30.65557989467162",,
"104.03753694547574,30.65615355099367",,
"104.03910091668585,30.655633247489853",,
"103.92274210427134,30.862825000056205",,
"104.0366592618176,30.649270966465934",,
"103.75019660574539,30.810386214725874",,
"104.03487506146548,30.648326472751908",,
"104.04006850205936,30.656161462292552",,
"103.64419310847822,30.983771327307167",,
"104.04229953729805,30.652676386539582",,
"103.63522316311426,31.015170284191825",,
"104.0344176997688,30.650049274234476",,
"104.03408745392952,30.650326936314357",,
"104.03756630176477,30.66047215706954",,
"104.03425318674513,30.647079795808814",,
"104.03743112037776,30.652660940249053",,
"104.03583316755085,30.652822291587718",,
"103.92298951063607,30.57341395368333",,
"103.88415945382253,30.808137917364213",,
"104.08003768174491,30.684156518389784",,
"103.83158438326373,30.695613442936676",,
"104.0019287511106,30.66929860677137",,
"104.0091215838075,30.5467790908606",,
"104.03845651613878,30.647175884364003",,
"103.99248851397144,30.7079336973225",,
"104.01543429354072,30.872636353456805",,
"103.91581851862333,30.5782448697272",,
"103.91757726578386,30.577834791449686",,
"103.91758281197103,30.576941918884152",,
"104.03596882543009,30.669716403370874",,
"104.03919942237444,30.669850731735163",,
"104.03357750679919,30.671989448716744",,
"103.88988605676896,30.80021919421547",,
"104.14374887990185,30.99961310509122",,
"104.04231263248097,30.654883598069723",,
"104.18444774572629,30.578492851656012",,
"103.9890215391759,30.57240251503132",,
"104.42223172337916,30.472914897982303",,
"104.53849467182299,30.417608492526597",,
"103.89225244188572,30.806040317546522",,
"104.54838954123113,30.404297112598563",,
"104.06595715760469,30.81223694154965",,
"104.06773837366843,30.814382891903215",,
"103.5331658630652,30.78394926006956",,
"103.96920547849747,30.64769047349807",,
"104.05917941653288,30.655347927659246",,
"104.06013394034542,30.655342875457883",,
"103.52237880406715,30.589164654293103",,
"104.02112358350416,30.821835717489954",,
"104.0012233216205,30.522905928397073",,
"104.12031954276324,30.663844758671992",,
"104.05047329022143,30.65937763276504",,
"104.05432048672147,30.65771729987713",,
"103.88433679056395,30.81338283873525",,
"104.05358112825358,30.657748865973968",,
"104.0509662675594,30.65844444006827",,
"104.09404873099695,30.58748099876849",,
"104.27118684224673,30.560647408402758",,
"104.15022088504747,30.638914350717418",,
"104.04240592801231,30.554573307133055",,
"104.00486106709296,30.670428035758807",,
"104.06893396107114,30.770529400644495",,
"104.14318817233564,30.7578514480718",,
"103.99236470323453,30.681662601632542",,
"104.06268639279307,30.532286855257375",,
"104.11765790776018,30.66546085965777",,
"104.15013165051684,30.76239788042336",,
"104.18585479900682,30.698507217799513",,
"104.1953472318234,30.573542838345595",,
"104.14678921396168,30.74904602303613",,
"103.4107604561593,30.187857248125933",,
"104.14324909165981,30.754697961194296",,
"103.9912739045079,30.705267163793685",,
"103.91584599522089,30.7181247279452",,
"103.96451218965355,30.66451571582264",,
"103.97608738059913,30.733697347929382",,
"103.49239261640882,30.574488023102692",,
"104.14067771304602,30.753881613869883",,
"104.07783703666124,30.754280512147503",,
"104.1481880732464,30.7513473246411",,
"103.41695993793981,30.189016330024472",,
"104.08121541191711,30.75408036666364",,
"104.07166757942187,30.75645753965466",,
"104.1466951884337,30.75488810289478",,
"104.09200363826879,30.766916668687006",,
"104.00139782462476,30.71637317055618",,
"104.18189860306214,30.734131743284344",,
"103.99159980814343,30.62099723678939",,
"104.04086197076467,30.579824102208732",,
"103.96929183083323,30.719127080073935",,
"103.96280879788377,30.720222059921916",,
"104.01661400955555,30.70222100925495",,
"104.08233111137646,30.618798147546723",,
"103.89263383501371,30.803970881500288",,
"104.03965573910654,30.54341010149828",,
"104.04214602709263,30.54562687299101",,
"104.04280359813545,30.5435033145632",,
"104.00489210317903,30.72606220349671",,
"104.02137911489447,30.490695285078857",,
"104.14415636816047,30.749858306527152",,
"104.15183455128022,30.754023782100163",,
"104.17907781072505,30.561925762122947",,
"103.88935122471116,30.38152827216253",,
